workload	kind	callee	calling_conv	is_vararg	is_tail	is_musttail	can_lower_return	features	return_type	arg_types	split_arg_types	count	share_percent
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer}	ptr{pointer}	27986	16.862896
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer}	ptr{pointer}	22299	13.436208
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer}	ptr{pointer}	11477	6.915438
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	6828	4.114195
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	5652	3.405599
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32	ptr{pointer},i32	4706	2.835589
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	3908	2.354756
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	3802	2.290886
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer}	ptr{pointer}	3130	1.885974
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	-	-	2734	1.647365
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32	ptr{pointer},i32	2423	1.459973
TOTAL	call	indirect	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	2417	1.456357
TOTAL	call	direct	0	0	0	0	1	-	void	-	-	2116	1.274991
TOTAL	call	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	2111	1.271978
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer}	ptr{pointer}	2097	1.263542
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i64	ptr{pointer},i64	1972	1.188224
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	1934	1.165327
TOTAL	call	direct	0	0	0	0	1	-	i64	ptr{pointer}	ptr{pointer}	1838	1.107482
TOTAL	call	direct	0	0	0	0	1	-	i32	i32	i32	1722	1.037587
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i64	i64	1502	0.905026
TOTAL	call	direct	0	0	0	0	1	-	i32	-	-	1356	0.817055
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},ptr{pointer}	ptr{pointer,sret},ptr{pointer},ptr{pointer}	1331	0.801991
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32	ptr{pointer},i32	1321	0.795965
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer}	ptr{pointer}	1183	0.712814
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer}	ptr{pointer}	1136	0.684494
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	1085	0.653764
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,i32	i32,i32	1059	0.638098
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i32	i32	1057	0.636893
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	1046	0.630265
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i64	ptr{pointer},ptr{pointer},ptr{pointer},i64	1010	0.608573
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer}	ptr{pointer}	876	0.527832
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32	ptr{pointer},i32	855	0.515178
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	833	0.501922
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	801	0.482641
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	i32,i32,ptr{pointer},i32,ptr{pointer}	i32,i32,ptr{pointer},i32,ptr{pointer}	770	0.463962
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i32	ptr{pointer},i32,i32	762	0.459141
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i32,ptr{pointer}	i32,ptr{pointer}	748	0.450706
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	i32,i32,ptr{pointer},i32,ptr{pointer},ptr{pointer,vararg}	i32,i32,ptr{pointer},i32,ptr{pointer},ptr{pointer,vararg}	745	0.448898
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	703	0.423591
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer}	ptr{pointer,sret},ptr{pointer}	651	0.392258
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer}	ptr{pointer}	647	0.389848
TOTAL	call	indirect	0	0	0	0	1	-	void	ptr{pointer}	ptr{pointer}	589	0.354901
TOTAL	call	direct	0	0	0	0	1	-	void	i32	i32	570	0.343452
TOTAL	call	direct	0	0	0	0	1	-	float	float	float	560	0.337427
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer}	524	0.315735
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer}	ptr{pointer}	517	0.311517
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	468	0.281992
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	463	0.278980
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer,sret},ptr{pointer},ptr{pointer},ptr{pointer}	453	0.272954
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	452	0.272352
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i64	ptr{pointer},i64	442	0.266326
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},i32{vararg}	ptr{pointer},i32{vararg}	441	0.265723
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	437	0.263313
