workload	category	value	count	gep_share_percent
TOTAL	single-index-i8	constant-index	8978	3.235572
TOTAL	single-index-i8	dynamic-index	5108	1.840867
TOTAL	ptr-adds-emitted	one	187673	67.635272
TOTAL	ptr-adds-emitted	zero	89805	32.364728
TOTAL	ptr-adds-emitted	two	0	0.000000
TOTAL	ptr-adds-emitted	three-or-more	0	0.000000
7zip	single-index-i8	constant-index	3748	9.742403
7zip	single-index-i8	dynamic-index	1161	3.017858
7zip	ptr-adds-emitted	one	29727	77.271191
7zip	ptr-adds-emitted	zero	8744	22.728809
7zip	ptr-adds-emitted	two	0	0.000000
7zip	ptr-adds-emitted	three-or-more	0	0.000000
Bullet	single-index-i8	constant-index	133	0.308277
Bullet	single-index-i8	dynamic-index	77	0.178476
Bullet	ptr-adds-emitted	one	28059	65.037202
Bullet	ptr-adds-emitted	zero	15084	34.962798
Bullet	ptr-adds-emitted	two	0	0.000000
Bullet	ptr-adds-emitted	three-or-more	0	0.000000
ClamAV	single-index-i8	constant-index	1911	8.558760
ClamAV	single-index-i8	dynamic-index	1650	7.389824
ClamAV	ptr-adds-emitted	one	18576	83.195987
ClamAV	ptr-adds-emitted	zero	3752	16.804013
ClamAV	ptr-adds-emitted	two	0	0.000000
ClamAV	ptr-adds-emitted	three-or-more	0	0.000000
consumer-typeset	single-index-i8	constant-index	612	0.852498
consumer-typeset	single-index-i8	dynamic-index	157	0.218696
consumer-typeset	ptr-adds-emitted	zero	38554	53.704607
consumer-typeset	ptr-adds-emitted	one	33235	46.295393
consumer-typeset	ptr-adds-emitted	two	0	0.000000
consumer-typeset	ptr-adds-emitted	three-or-more	0	0.000000
kimwitu++	single-index-i8	constant-index	256	1.428811
kimwitu++	single-index-i8	dynamic-index	43	0.239996
kimwitu++	ptr-adds-emitted	one	11754	65.602500
kimwitu++	ptr-adds-emitted	zero	6163	34.397500
kimwitu++	ptr-adds-emitted	two	0	0.000000
kimwitu++	ptr-adds-emitted	three-or-more	0	0.000000
lencod	single-index-i8	constant-index	758	1.971186
lencod	single-index-i8	dynamic-index	652	1.695532
lencod	ptr-adds-emitted	one	33699	87.634576
lencod	ptr-adds-emitted	zero	4755	12.365424
lencod	ptr-adds-emitted	two	0	0.000000
lencod	ptr-adds-emitted	three-or-more	0	0.000000
mafft	single-index-i8	dynamic-index	558	5.546168
mafft	single-index-i8	constant-index	506	5.029321
mafft	ptr-adds-emitted	one	8536	84.842461
mafft	ptr-adds-emitted	zero	1525	15.157539
mafft	ptr-adds-emitted	two	0	0.000000
mafft	ptr-adds-emitted	three-or-more	0	0.000000
SPASS	single-index-i8	constant-index	221	5.324018
SPASS	single-index-i8	dynamic-index	112	2.698145
SPASS	ptr-adds-emitted	one	3336	80.366177
SPASS	ptr-adds-emitted	zero	815	19.633823
SPASS	ptr-adds-emitted	two	0	0.000000
SPASS	ptr-adds-emitted	three-or-more	0	0.000000
sqlite3	single-index-i8	dynamic-index	695	4.606615
sqlite3	single-index-i8	constant-index	626	4.149268
sqlite3	ptr-adds-emitted	one	12437	82.435209
sqlite3	ptr-adds-emitted	zero	2650	17.564791
sqlite3	ptr-adds-emitted	two	0	0.000000
sqlite3	ptr-adds-emitted	three-or-more	0	0.000000
tramp3d-v4	single-index-i8	constant-index	207	1.287554
tramp3d-v4	single-index-i8	dynamic-index	3	0.018660
tramp3d-v4	ptr-adds-emitted	one	8314	51.713628
tramp3d-v4	ptr-adds-emitted	zero	7763	48.286372
tramp3d-v4	ptr-adds-emitted	two	0	0.000000
tramp3d-v4	ptr-adds-emitted	three-or-more	0	0.000000
