workload	shape	count	gep_share_percent
TOTAL	constant-offset-only	149886	54.017255
TOTAL	all-zero	89805	32.364728
TOTAL	one-dynamic-scaled	30956	11.156200
TOTAL	one-dynamic-unit-stride	6831	2.461817
TOTAL	multiple-dynamic	0	0.000000
7zip	constant-offset-only	25580	66.491643
7zip	all-zero	8744	22.728809
7zip	one-dynamic-scaled	2592	6.737543
7zip	one-dynamic-unit-stride	1555	4.042006
7zip	multiple-dynamic	0	0.000000
Bullet	constant-offset-only	25110	58.201794
Bullet	all-zero	15084	34.962798
Bullet	one-dynamic-scaled	2859	6.626799
Bullet	one-dynamic-unit-stride	90	0.208609
Bullet	multiple-dynamic	0	0.000000
ClamAV	constant-offset-only	14758	66.096381
ClamAV	all-zero	3752	16.804013
ClamAV	one-dynamic-scaled	1917	8.585632
ClamAV	one-dynamic-unit-stride	1901	8.513973
ClamAV	multiple-dynamic	0	0.000000
consumer-typeset	all-zero	38554	53.704607
consumer-typeset	constant-offset-only	28740	40.033988
consumer-typeset	one-dynamic-scaled	3762	5.240357
consumer-typeset	one-dynamic-unit-stride	733	1.021048
consumer-typeset	multiple-dynamic	0	0.000000
kimwitu++	constant-offset-only	11156	62.264888
kimwitu++	all-zero	6163	34.397500
kimwitu++	one-dynamic-scaled	448	2.500419
kimwitu++	one-dynamic-unit-stride	150	0.837194
kimwitu++	multiple-dynamic	0	0.000000
lencod	constant-offset-only	21138	54.969574
lencod	one-dynamic-scaled	11689	30.397358
lencod	all-zero	4755	12.365424
lencod	one-dynamic-unit-stride	872	2.267644
lencod	multiple-dynamic	0	0.000000
mafft	one-dynamic-scaled	5272	52.400358
mafft	constant-offset-only	2661	26.448663
mafft	all-zero	1525	15.157539
mafft	one-dynamic-unit-stride	603	5.993440
mafft	multiple-dynamic	0	0.000000
SPASS	constant-offset-only	2457	59.190556
SPASS	all-zero	815	19.633823
SPASS	one-dynamic-scaled	740	17.827030
SPASS	one-dynamic-unit-stride	139	3.348591
SPASS	multiple-dynamic	0	0.000000
sqlite3	constant-offset-only	10671	70.729767
sqlite3	all-zero	2650	17.564791
sqlite3	one-dynamic-scaled	981	6.502287
sqlite3	one-dynamic-unit-stride	785	5.203155
sqlite3	multiple-dynamic	0	0.000000
tramp3d-v4	all-zero	7763	48.286372
tramp3d-v4	constant-offset-only	7615	47.365802
tramp3d-v4	one-dynamic-scaled	696	4.329166
tramp3d-v4	one-dynamic-unit-stride	3	0.018660
tramp3d-v4	multiple-dynamic	0	0.000000
