workload	opcode	result_type	operand_types	count	share_percent
TOTAL	load	ptr	ptr	330114	17.509038
TOTAL	getelementptr	ptr	ptr,i32,i32	174707	9.266349
TOTAL	load	i32	ptr	153943	8.165039
TOTAL	alloca	ptr	i32	151232	8.021250
TOTAL	store	void	ptr,ptr	136797	7.255626
TOTAL	br	void	label	116603	6.184549
TOTAL	store	void	i32,ptr	85298	4.524152
TOTAL	br	void	i1,label,label	72078	3.822972
TOTAL	icmp	i1	i32,i32	49435	2.622001
TOTAL	getelementptr	ptr	ptr,i64	48707	2.583388
TOTAL	getelementptr	ptr	ptr,i64,i64	47122	2.499321
TOTAL	sext	i64	i32	32925	1.746321
TOTAL	call	void	ptr,ptr	30004	1.591393
TOTAL	add	i32	i32,i32	25390	1.346670
TOTAL	call	ptr	ptr,ptr	22401	1.188135
TOTAL	ret	void	-	21217	1.125336
TOTAL	load	i8	ptr	17910	0.949935
TOTAL	load	float	ptr	17155	0.909890
TOTAL	icmp	i1	ptr,ptr	15476	0.820837
TOTAL	call	i32	ptr,ptr	14042	0.744779
TOTAL	store	void	float,ptr	12665	0.671744
TOTAL	zext	i32	i8	11355	0.602262
TOTAL	load	i64	ptr	11245	0.596428
TOTAL	ret	void	ptr	10055	0.533311
TOTAL	load	i16	ptr	9593	0.508807
TOTAL	store	void	i8,ptr	8883	0.471149
TOTAL	sub	i32	i32,i32	8192	0.434499
TOTAL	call	void	ptr,ptr,ptr	8134	0.431422
TOTAL	call	void	ptr,ptr,ptr,ptr	7761	0.411639
TOTAL	ret	void	i32	7125	0.377905
TOTAL	store	void	i64,ptr	6570	0.348469
TOTAL	zext	i64	i32	6245	0.331231
TOTAL	call	ptr	ptr,ptr,ptr	6107	0.323911
TOTAL	zext	i32	i16	4817	0.255491
TOTAL	call	ptr	ptr,i32,ptr	4767	0.252839
TOTAL	extractvalue	ptr	{ ptr, i32 }	4684	0.248436
TOTAL	and	i32	i32,i32	4669	0.247641
TOTAL	call	i32	ptr,ptr,ptr	4493	0.238306
TOTAL	store	void	i16,ptr	4431	0.235017
TOTAL	unreachable	void	-	4180	0.221705
TOTAL	phi	ptr	ptr,ptr	3888	0.206217
TOTAL	call	void	ptr,ptr,i64,i1,ptr	3707	0.196617
TOTAL	extractvalue	i32	{ ptr, i32 }	3657	0.193965
TOTAL	shl	i32	i32,i32	3487	0.184948
TOTAL	icmp	i1	i8,i8	3365	0.178477
TOTAL	landingpad	{ ptr, i32 }	-	3267	0.173280
TOTAL	getelementptr	ptr	ptr,i32	3193	0.169355
TOTAL	invoke	void	ptr,label,label,ptr	3188	0.169090
TOTAL	icmp	i1	i64,i64	3181	0.168718
TOTAL	mul	i32	i32,i32	3005	0.159383
TOTAL	call	void	ptr,i32,ptr	2886	0.153072
TOTAL	call	ptr	ptr	2742	0.145434
TOTAL	load	double	ptr	2607	0.138274
TOTAL	extractvalue	[4 x float]	%class.btVector3	2566	0.136099
TOTAL	store	void	[4 x float],ptr	2566	0.136099
TOTAL	call	void	ptr	2562	0.135887
TOTAL	or	i32	i32,i32	2554	0.135463
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr	2544	0.134932
TOTAL	fmul	float	float,float	2443	0.129575
TOTAL	add	i64	i64,i64	2384	0.126446
TOTAL	sext	i32	i16	2283	0.121089
TOTAL	call	%class.btVector3	ptr,ptr,ptr	2142	0.113610
TOTAL	store	void	double,ptr	2112	0.112019
TOTAL	call	void	ptr,i64,ptr	2027	0.107511
TOTAL	phi	i32	i32,i32	1978	0.104912
TOTAL	sub	i64	i64,i64	1923	0.101995
TOTAL	trunc	i16	i32	1881	0.099767
TOTAL	call	i64	ptr,ptr	1840	0.097592
TOTAL	call	i32	i32,ptr	1723	0.091387
TOTAL	lshr	i32	i32,i32	1719	0.091175
TOTAL	ptrtoint	i64	ptr	1682	0.089212
TOTAL	zext	i32	i1	1670	0.088576
TOTAL	trunc	i32	i64	1669	0.088523
TOTAL	trunc	i8	i32	1642	0.087091
TOTAL	fcmp	i1	float,float	1526	0.080938
TOTAL	call	ptr	i64,ptr	1507	0.079930
TOTAL	ashr	i32	i32,i32	1475	0.078233
TOTAL	call	i32	ptr,i32,ptr	1449	0.076854
TOTAL	and	i16	i16,i16	1423	0.075475
TOTAL	phi	i1	i1,i1	1422	0.075422
TOTAL	fadd	float	float,float	1410	0.074786
TOTAL	call	i32	ptr	1356	0.071921
TOTAL	xor	i1	i1,i1	1355	0.071868
TOTAL	call	i32	ptr,ptr,ptr,ptr	1346	0.071391
TOTAL	store	void	i1,ptr	1327	0.070383
TOTAL	call	float	float,float,float,ptr	1290	0.068421
TOTAL	invoke	ptr	ptr,label,label,ptr	1204	0.063859
TOTAL	zext	i64	i8	1194	0.063329
TOTAL	ret	void	i1	1180	0.062586
TOTAL	call	ptr	ptr,ptr,ptr,ptr	1128	0.059828
TOTAL	landingpad	{ ptr, i32 }	ptr	1090	0.057813
TOTAL	call	i1	ptr,ptr	1088	0.057707
TOTAL	call	i32	i32,i32,ptr	1059	0.056169
TOTAL	call	ptr	i32,ptr	1057	0.056063
TOTAL	xor	i32	i32,i32	1051	0.055744
TOTAL	call	float	ptr,ptr,ptr	1049	0.055638
TOTAL	call	ptr	ptr,ptr,ptr,i64,ptr	1010	0.053570
TOTAL	mul	i64	i64,i64	997	0.052880
TOTAL	zext	i8	i1	958	0.050812
TOTAL	invoke	i32	ptr,label,label,ptr	950	0.050387
TOTAL	zext	i64	i1	928	0.049221
TOTAL	invoke	void	ptr,ptr,label,label,ptr	871	0.046197
TOTAL	and	i8	i8,i8	867	0.045985
TOTAL	invoke	ptr	ptr,i32,label,label,ptr	858	0.045508
TOTAL	call	void	ptr,i32,i32,ptr	835	0.044288
TOTAL	fsub	float	float,float	834	0.044235
TOTAL	fneg	float	float	831	0.044076
TOTAL	inttoptr	ptr	i64	814	0.043174
TOTAL	ret	void	float	790	0.041901
TOTAL	fmul	double	double,double	778	0.041265
TOTAL	fpext	double	float	772	0.040946
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr	770	0.040840
TOTAL	sdiv	i32	i32,i32	762	0.040416
TOTAL	call	ptr	i32,ptr,ptr	748	0.039673
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr	745	0.039514
TOTAL	ret	void	i64	734	0.038931
TOTAL	select	i32	i1,i32,i32	730	0.038719
TOTAL	invoke	ptr	ptr,ptr,label,label,ptr	703	0.037287
TOTAL	fdiv	float	float,float	664	0.035218
TOTAL	call	float	ptr,ptr	649	0.034423
TOTAL	call	void	ptr,i32,ptr,ptr	620	0.032884
TOTAL	call	void	ptr,ptr,i32,ptr	619	0.032831
TOTAL	call	float	float,ptr	602	0.031930
TOTAL	or	i16	i16,i16	602	0.031930
TOTAL	load	%class.btVector3	ptr	597	0.031665
TOTAL	ret	void	%class.btVector3	597	0.031665
TOTAL	invoke	void	ptr,ptr,ptr,label,label,ptr	595	0.031558
TOTAL	lshr	i16	i16,i16	591	0.031346
TOTAL	call	void	i32,ptr	573	0.030392
TOTAL	call	i32	ptr,ptr,i32,ptr	563	0.029861
TOTAL	sitofp	double	i32	553	0.029331
TOTAL	load	i1	ptr	510	0.027050
TOTAL	call	i1	ptr,ptr,ptr	480	0.025459
TOTAL	sitofp	float	i32	478	0.025353
TOTAL	call	ptr	ptr,i64,ptr	464	0.024610
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr	464	0.024610
TOTAL	sext	i64	i16	461	0.024451
TOTAL	call	i32	ptr,ptr,i64,ptr	452	0.023974
TOTAL	switch	void	i32,label,label,label	451	0.023921
TOTAL	sdiv	i64	i64,i64	411	0.021799
TOTAL	switch	void	i32,label,label	407	0.021587
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr	394	0.020898
TOTAL	call	i32	ptr,i32,i32,i32,ptr	392	0.020791
TOTAL	call	ptr	ptr,ptr,i32,ptr	392	0.020791
TOTAL	call	i1	ptr,i64,ptr	386	0.020473
TOTAL	fsub	double	double,double	386	0.020473
TOTAL	call	ptr	ptr,i32,ptr,ptr	368	0.019518
TOTAL	or	i8	i8,i8	364	0.019306
TOTAL	fadd	double	double,double	358	0.018988
TOTAL	fdiv	double	double,double	354	0.018776
TOTAL	sext	i32	i8	354	0.018776
TOTAL	call	double	double,double,double,ptr	336	0.017821
TOTAL	invoke	i32	ptr,ptr,label,label,ptr	335	0.017768
TOTAL	call	void	ptr,ptr,i64,ptr	324	0.017185
TOTAL	call	void	ptr,i8,i64,i1,ptr	317	0.016813
TOTAL	landingpad	{ ptr, i32 }	ptr,ptr	315	0.016707
TOTAL	call	i32	i32,ptr,ptr	313	0.016601
TOTAL	zext	i64	i16	311	0.016495
TOTAL	call	ptr	i64,i64,ptr	303	0.016071
TOTAL	srem	i32	i32,i32	295	0.015647
TOTAL	fptrunc	float	double	294	0.015594
TOTAL	call	ptr	ptr,i32,i32,ptr	292	0.015487
TOTAL	fcmp	i1	double,double	292	0.015487
TOTAL	invoke	i1	ptr,label,label,ptr	287	0.015222
TOTAL	shl	i16	i16,i16	287	0.015222
TOTAL	call	ptr	i32,i32,ptr	275	0.014586
TOTAL	trunc	i8	i64	267	0.014162
TOTAL	and	i64	i64,i64	264	0.014002
TOTAL	call	i32	ptr,i32,i32,ptr	262	0.013896
TOTAL	fptosi	i32	double	261	0.013843
TOTAL	call	i32	ptr,i32,ptr,ptr	259	0.013737
TOTAL	switch	void	i32,label,label,label,label	253	0.013419
TOTAL	call	void	ptr,ptr,i32,i32,ptr	252	0.013366
TOTAL	urem	i32	i32,i32	249	0.013207
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr	248	0.013154
TOTAL	call	i32	i32,ptr,i32,ptr	245	0.012995
TOTAL	call	i32	i32,i32,i32,ptr	242	0.012836
TOTAL	invoke	void	ptr,ptr,ptr,ptr,label,label,ptr	238	0.012623
TOTAL	call	double	ptr,ptr,ptr	231	0.012252
TOTAL	shl	i64	i64,i64	224	0.011881
TOTAL	call	ptr	i32,ptr,ptr,ptr	223	0.011828
TOTAL	call	i32	ptr,ptr,ptr,i32,ptr	197	0.010449
TOTAL	ret	void	double	196	0.010396
TOTAL	call	i64	i32,i64,i32,ptr	193	0.010237
TOTAL	lshr	i8	i8,i8	191	0.010131
TOTAL	invoke	void	ptr,i32,label,label,ptr	183	0.009706
TOTAL	udiv	i64	i64,i64	180	0.009547
TOTAL	phi	i64	i64,i64	179	0.009494
TOTAL	lshr	i64	i64,i64	175	0.009282
TOTAL	ptrtoint	i32	ptr	172	0.009123
TOTAL	phi	i1	i1,i1,i1	170	0.009017
TOTAL	phi	float	float,float	169	0.008964
TOTAL	udiv	i32	i32,i32	165	0.008751
TOTAL	call	%class.btVector3	ptr,ptr	162	0.008592
