workload	opcode	total	legal	legal_percent	Legal	NarrowScalar	WidenScalar	FewerElements	MoreElements	Bitcast	Lower	Libcall	Custom	Unsupported	NotFound
TOTAL	G_LOAD	493972	493462	99.896755	493462	0	0	0	0	0	510	0	0	0	0
TOTAL	G_FRAME_INDEX	386893	386893	100.000000	386893	0	0	0	0	0	0	0	0	0	0
TOTAL	G_CONSTANT	328064	324388	98.879487	324388	2	3674	0	0	0	0	0	0	0	0
TOTAL	G_STORE	278347	275693	99.046514	275693	0	1327	0	0	0	1327	0	0	0	0
TOTAL	G_BRCOND	224964	148877	66.178144	148877	0	76087	0	0	0	0	0	0	0	0
TOTAL	G_BR	204751	204751	100.000000	204751	0	0	0	0	0	0	0	0	0	0
TOTAL	G_PTR_ADD	191068	191068	100.000000	191068	0	0	0	0	0	0	0	0	0	0
TOTAL	G_ICMP	155439	76227	49.039816	76227	0	79212	0	0	0	0	0	0	0	0
TOTAL	G_GLOBAL_VALUE	64488	0	0.000000	0	0	0	0	0	0	0	0	64488	0	0
TOTAL	G_SHL	37710	32243	85.502519	32243	0	870	0	0	0	0	0	4597	0	0
TOTAL	G_ADD	32336	32117	99.322736	32117	0	219	0	0	0	0	0	0	0	0
TOTAL	G_SEXTLOAD	29956	29931	99.916544	29931	0	25	0	0	0	0	0	0	0	0
TOTAL	G_AND	20987	17131	81.626721	17131	0	3856	0	0	0	0	0	0	0	0
TOTAL	G_ZEXTLOAD	20971	20961	99.952315	20961	0	10	0	0	0	0	0	0	0	0
TOTAL	G_TRUNC	15113	15113	100.000000	15113	0	0	0	0	0	0	0	0	0	0
TOTAL	G_INVOKE_REGION_START	12072	12072	100.000000	12072	0	0	0	0	0	0	0	0	0	0
TOTAL	G_PTRTOINT	9347	5518	59.034984	5518	0	3829	0	0	0	0	0	0	0	0
TOTAL	G_PHI	7950	6269	78.855346	6269	1	1680	0	0	0	0	0	0	0	0
TOTAL	G_MUL	6992	6989	99.957094	6989	0	3	0	0	0	0	0	0	0	0
TOTAL	G_SUB	6900	6900	100.000000	6900	0	0	0	0	0	0	0	0	0	0
TOTAL	G_LSHR	6617	2552	38.567327	2552	0	1564	0	0	0	0	0	2501	0	0
TOTAL	G_SEXT	5871	5871	100.000000	5871	0	0	0	0	0	0	0	0	0	0
TOTAL	G_ZEXT	5754	5754	100.000000	5754	0	0	0	0	0	0	0	0	0	0
TOTAL	G_OR	5636	4661	82.700497	4661	0	975	0	0	0	0	0	0	0	0
TOTAL	G_FCONSTANT	4803	4803	100.000000	4803	0	0	0	0	0	0	0	0	0	0
TOTAL	G_FCMP	3654	1818	49.753695	1818	0	1827	0	0	0	0	9	0	0	0
TOTAL	G_ANYEXT	3463	3463	100.000000	3463	0	0	0	0	0	0	0	0	0	0
TOTAL	G_FMUL	3236	3221	99.536465	3221	0	0	0	0	0	0	15	0	0	0
TOTAL	G_SELECT	2870	1848	64.390244	1848	0	1022	0	0	0	0	0	0	0	0
TOTAL	G_ASHR	2754	1246	45.243282	1246	0	22	0	0	0	0	0	1486	0	0
TOTAL	G_FADD	1772	1768	99.774266	1768	0	0	0	0	0	0	4	0	0	0
TOTAL	G_FMA	1582	1582	100.000000	1582	0	0	0	0	0	0	0	0	0	0
TOTAL	G_SDIV	1477	1477	100.000000	1477	0	0	0	0	0	0	0	0	0	0
TOTAL	G_XOR	1290	1211	93.875969	1211	2	77	0	0	0	0	0	0	0	0
TOTAL	G_FSUB	1221	1220	99.918100	1220	0	0	0	0	0	0	1	0	0	0
