workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
TOTAL	G_FRAME_INDEX	initial	first	p0	-	Legal	0	-	386893	14.943943
TOTAL	G_LOAD	initial	first	p0,p0	p0@64@not_atomic@not_atomic	Legal	0	-	324871	12.548311
TOTAL	G_BR	initial	first	-	-	Legal	0	-	204751	7.908614
TOTAL	G_PTR_ADD	initial	first	p0,i64	-	Legal	0	-	191002	7.377551
TOTAL	G_CONSTANT	initial	first	i64	-	Legal	0	-	166194	6.419329
TOTAL	G_BRCOND	initial	revisit	i32	-	Legal	0	-	148877	5.750451
TOTAL	G_STORE	initial	first	p0,p0	p0@64@not_atomic@not_atomic	Legal	0	-	136701	5.280147
TOTAL	G_LOAD	initial	first	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	109972	4.247726
TOTAL	G_CONSTANT	initial	first	i32	-	Legal	0	-	105235	4.064756
TOTAL	G_STORE	initial	first	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	78693	3.039558
TOTAL	G_BRCOND	initial	first	i1	-	WidenScalar	0	i32	76087	2.938900
TOTAL	G_GLOBAL_VALUE	initial	first	p0	-	Custom	0	-	64488	2.490882
TOTAL	G_ICMP	initial	revisit	i32,i32	-	Legal	0	-	57262	2.211774
TOTAL	G_ICMP	initial	first	i1,i32	-	WidenScalar	0	i32	53204	2.055032
TOTAL	G_ADD	initial	first	i32	-	Legal	0	-	29154	1.126088
TOTAL	G_SHL	initial	first	i64,i64	-	Legal	0	-	28167	1.087965
TOTAL	G_SEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	26060	1.006581
TOTAL	G_STORE	initial	first	f32,p0	f32@32@not_atomic@not_atomic	Legal	0	-	22812	0.881125
TOTAL	G_LOAD	initial	first	f32,p0	f32@32@not_atomic@not_atomic	Legal	0	-	19095	0.737554
TOTAL	G_CONSTANT	initial	first	p0	-	Legal	0	-	17811	0.687959
TOTAL	G_ICMP	initial	first	i1,p0	-	WidenScalar	0	i32	15476	0.597769
TOTAL	G_ICMP	initial	revisit	i32,p0	-	Legal	0	-	15476	0.597769
TOTAL	G_CONSTANT	generated	first	i32	-	Legal	0	-	12709	0.490892
TOTAL	G_INVOKE_REGION_START	initial	first	-	-	Legal	0	-	12072	0.466287
TOTAL	G_LOAD	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	12029	0.464626
TOTAL	G_LOAD	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	11345	0.438207
TOTAL	G_CONSTANT	initial	first	i8	-	Legal	0	-	8362	0.322987
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	7355	0.284091
TOTAL	G_AND	generated	first	i32	-	Legal	0	-	7095	0.274048
TOTAL	G_STORE	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	6862	0.265048
TOTAL	G_STORE	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	6546	0.252843
TOTAL	G_STORE	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	6188	0.239015
TOTAL	G_SEXT	initial	first	i64,i32	-	Legal	0	-	5869	0.226693
TOTAL	G_SUB	initial	first	i32	-	Legal	0	-	4636	0.179068
TOTAL	G_AND	initial	first	i32	-	Legal	0	-	4437	0.171381
TOTAL	G_ZEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	4352	0.168098
TOTAL	G_CONSTANT	generated	first	i64	-	Legal	0	-	4176	0.161300
TOTAL	G_SHL	initial	first	i32,i32	-	Custom	0	-	4162	0.160759
TOTAL	G_SHL	initial	revisit	i32,i64	-	Legal	0	-	4076	0.157438
TOTAL	G_TRUNC	generated	first	i32,i64	-	Legal	0	-	3860	0.149095
TOTAL	G_PTRTOINT	initial	first	i32,p0	-	WidenScalar	0	i64	3829	0.147897
TOTAL	G_PTRTOINT	initial	revisit	i64,p0	-	Legal	0	-	3829	0.147897
TOTAL	G_MUL	initial	first	i64	-	Legal	0	-	3814	0.147318
TOTAL	G_CONSTANT	initial	first	i1	-	WidenScalar	0	i8	3672	0.141833
TOTAL	G_CONSTANT	initial	revisit	i8	-	Legal	0	-	3672	0.141833
TOTAL	G_ICMP	initial	revisit	i1,i32	-	WidenScalar	0	i32	3526	0.136194
TOTAL	G_ZEXT	generated	first	i32,i8	-	Legal	0	-	3504	0.135344
TOTAL	G_AND	initial	revisit	i32	-	Legal	0	-	3473	0.134146
TOTAL	G_FCONSTANT	initial	first	f32	-	Legal	0	-	3441	0.132910
TOTAL	G_ICMP	initial	first	i1,i64	-	WidenScalar	0	i32	3393	0.131056
TOTAL	G_ICMP	initial	revisit	i32,i64	-	Legal	0	-	3393	0.131056
TOTAL	G_ICMP	initial	first	i1,i8	-	WidenScalar	1	i32	3365	0.129975
TOTAL	G_STORE	initial	first	i16,p0	i16@16@not_atomic@not_atomic	Legal	0	-	3360	0.129782
TOTAL	G_LOAD	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	3219	0.124336
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	i8@64@not_atomic@not_atomic	Legal	0	-	3079	0.118928
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	2866	0.110701
TOTAL	G_ADD	initial	first	i64	-	Legal	0	-	2652	0.102435
TOTAL	G_LOAD	initial	first	f64,p0	f64@64@not_atomic@not_atomic	Legal	0	-	2607	0.100697
TOTAL	G_OR	initial	first	i32	-	Legal	0	-	2554	0.098650
TOTAL	G_CONSTANT	initial	first	i16	-	Legal	0	-	2540	0.098109
TOTAL	G_TRUNC	generated	first	i8,i32	-	Legal	0	-	2530	0.097723
TOTAL	G_FMUL	initial	first	f32	-	Legal	0	-	2443	0.094362
TOTAL	G_LSHR	initial	revisit	i32,i64	-	Legal	0	-	2377	0.091813
TOTAL	G_MUL	initial	first	i32	-	Legal	0	-	2335	0.090191
TOTAL	G_TRUNC	generated	first	i16,i32	-	Legal	0	-	2320	0.089611
TOTAL	G_ANYEXT	generated	first	i32,i16	-	Legal	0	-	2318	0.089534
TOTAL	G_TRUNC	initial	first	i32,i64	-	Legal	0	-	2278	0.087989
TOTAL	G_CONSTANT	generated	first	i16	-	Legal	0	-	2177	0.084088
TOTAL	G_SEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	2125	0.082079
TOTAL	G_STORE	initial	first	f64,p0	f64@64@not_atomic@not_atomic	Legal	0	-	2112	0.081577
TOTAL	G_PHI	initial	first	p0	-	Legal	0	-	2057	0.079453
TOTAL	G_OR	initial	revisit	i32	-	Legal	0	-	1965	0.075899
TOTAL	G_PHI	initial	first	i32	-	Legal	0	-	1965	0.075899
TOTAL	G_TRUNC	initial	first	i8,i32	-	Legal	0	-	1965	0.075899
TOTAL	G_PHI	initial	revisit	i16	-	Legal	0	-	1825	0.070492
TOTAL	G_AND	generated	revisit	i32	-	Legal	0	-	1788	0.069062
TOTAL	G_TRUNC	initial	first	i16,i32	-	Legal	0	-	1785	0.068947
TOTAL	G_STORE	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	1752	0.067672
TOTAL	G_LSHR	initial	first	i32,i32	-	Custom	0	-	1719	0.066397
TOTAL	G_PTRTOINT	initial	first	i64,p0	-	Legal	0	-	1684	0.065045
TOTAL	G_PHI	initial	first	i1	-	WidenScalar	0	i16	1677	0.064775
TOTAL	G_SUB	initial	first	i64	-	Legal	0	-	1642	0.063423
TOTAL	G_LOAD	initial	first	f128,p0	s128@32@not_atomic@not_atomic	Legal	0	-	1640	0.063346
TOTAL	G_AND	generated	first	i8	-	WidenScalar	0	i32	1565	0.060449
TOTAL	G_FCMP	initial	first	i1,f32	-	WidenScalar	0	i32	1526	0.058943
TOTAL	G_FCMP	initial	revisit	i32,f32	-	Legal	0	-	1526	0.058943
TOTAL	G_ZEXT	initial	first	i64,i32	-	Legal	0	-	1491	0.057591
TOTAL	G_STORE	initial	first	f128,p0	s128@32@not_atomic@not_atomic	Legal	0	-	1477	0.057050
TOTAL	G_ASHR	initial	first	i32,i32	-	Custom	0	-	1475	0.056973
TOTAL	G_CONSTANT	generated	first	i8	-	Legal	0	-	1444	0.055775
TOTAL	G_AND	initial	first	i16	-	WidenScalar	0	i32	1423	0.054964
TOTAL	G_FADD	initial	first	f32	-	Legal	0	-	1410	0.054462
TOTAL	G_SELECT	initial	revisit	i32,i32	-	Legal	0	-	1359	0.052492
TOTAL	G_FCONSTANT	initial	first	f64	-	Legal	0	-	1338	0.051681
TOTAL	G_STORE	generated	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	1327	0.051256
TOTAL	G_STORE	initial	first	i1,p0	i1@8@not_atomic@not_atomic	WidenScalar	0	i8	1327	0.051256
TOTAL	G_STORE	initial	revisit	i8,p0	i1@8@not_atomic@not_atomic	Lower	0	-	1327	0.051256
TOTAL	G_FMA	initial	first	f32	-	Legal	0	-	1250	0.048282
TOTAL	G_ASHR	initial	revisit	i32,i64	-	Legal	0	-	1230	0.047509
TOTAL	G_LOAD	initial	first	i16,p0	i16@16@not_atomic@not_atomic	Legal	0	-	1192	0.046042
TOTAL	G_STORE	initial	first	p0,p0	p0@8@not_atomic@not_atomic	Legal	0	-	1078	0.041638
TOTAL	G_ANYEXT	generated	first	i32,i8	-	Legal	0	-	1075	0.041522
TOTAL	G_XOR	initial	first	i32	-	Legal	0	-	1051	0.040595
TOTAL	G_LOAD	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	921	0.035574
TOTAL	G_ZEXTLOAD	initial	first	i64,p0	i8@8@not_atomic@not_atomic	Legal	0	-	893	0.034493
TOTAL	G_AND	initial	first	i8	-	WidenScalar	0	i32	867	0.033488
TOTAL	G_INTTOPTR	initial	first	p0,i64	-	Legal	0	-	853	0.032948
TOTAL	G_LOAD	initial	first	i16,p0	i16@32@not_atomic@not_atomic	Legal	0	-	842	0.032523
TOTAL	G_FSUB	initial	first	f32	-	Legal	0	-	834	0.032214
TOTAL	G_FNEG	initial	first	f32	-	Legal	0	-	831	0.032098
TOTAL	G_LSHR	initial	revisit	i32,i32	-	Custom	0	-	782	0.030205
TOTAL	G_FMUL	initial	first	f64	-	Legal	0	-	778	0.030051
TOTAL	G_FPEXT	initial	first	f64,f32	-	Legal	0	-	772	0.029819
TOTAL	G_SEXTLOAD	initial	first	i64,p0	i32@64@not_atomic@not_atomic	Legal	0	-	767	0.029626
TOTAL	G_SDIV	initial	first	i32	-	Legal	0	-	762	0.029433
TOTAL	G_ZEXT	generated	first	i32,i16	-	Legal	0	-	759	0.029317
TOTAL	G_SELECT	initial	first	i32,i1	-	WidenScalar	1	i32	730	0.028197
TOTAL	G_STORE	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	685	0.026458
TOTAL	G_STORE	initial	first	i64,p0	s64@64@not_atomic@not_atomic	Legal	0	-	670	0.025879
TOTAL	G_FDIV	initial	first	f32	-	Legal	0	-	664	0.025647
TOTAL	G_LOAD	initial	first	i64,p0	s64@64@not_atomic@not_atomic	Legal	0	-	658	0.025416
TOTAL	G_LOAD	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	658	0.025416
TOTAL	G_STORE	initial	first	i16,p0	i16@32@not_atomic@not_atomic	Legal	0	-	652	0.025184
TOTAL	G_STORE	initial	first	i32,p0	i32@8@not_atomic@not_atomic	Legal	0	-	624	0.024102
TOTAL	G_OR	initial	first	i16	-	WidenScalar	0	i32	602	0.023253
TOTAL	G_LSHR	initial	first	i16,i16	-	WidenScalar	1	i32	591	0.022828
TOTAL	G_LSHR	initial	revisit	i16,i32	-	WidenScalar	0	i32	591	0.022828
TOTAL	G_LOAD	initial	first	f32,p0	f32@64@not_atomic@not_atomic	Legal	0	-	588	0.022712
TOTAL	G_STORE	initial	revisit	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	574	0.022171
TOTAL	G_SITOFP	initial	first	f64,i32	-	Legal	0	-	553	0.021360
TOTAL	G_SUB	generated	first	i32	-	Legal	0	-	545	0.021051
TOTAL	G_MUL	generated	first	i32	-	Legal	0	-	544	0.021012
TOTAL	G_STORE	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	543	0.020974
TOTAL	G_LOAD	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	527	0.020356
TOTAL	G_LOAD	generated	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	510	0.019699
TOTAL	G_LOAD	initial	first	i1,p0	i1@8@not_atomic@not_atomic	Lower	0	-	510	0.019699
TOTAL	G_SITOFP	initial	first	f32,i32	-	Legal	0	-	478	0.018463
TOTAL	G_SEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	438	0.016918
TOTAL	G_SHL	initial	revisit	i32,i32	-	Custom	0	-	435	0.016802
