stage	workload	opcode	count	share
prelegalizer	TOTAL	G_LOAD	493462	0.202320
prelegalizer	TOTAL	G_FRAME_INDEX	431287	0.176828
prelegalizer	TOTAL	G_CONSTANT	373340	0.153070
prelegalizer	TOTAL	G_STORE	274581	0.112579
prelegalizer	TOTAL	G_BR	204751	0.083948
prelegalizer	TOTAL	G_PTR_ADD	202566	0.083052
prelegalizer	TOTAL	G_GLOBAL_VALUE	85529	0.035067
prelegalizer	TOTAL	G_BRCOND	76087	0.031196
prelegalizer	TOTAL	G_ICMP	75599	0.030996
prelegalizer	TOTAL	G_SHL	32764	0.013433
prelegalizer	TOTAL	G_ADD	32025	0.013130
prelegalizer	TOTAL	G_SEXTLOAD	29931	0.012272
prelegalizer	TOTAL	G_ZEXTLOAD	20961	0.008594
prelegalizer	TOTAL	G_INVOKE_REGION_START	12072	0.004950
prelegalizer	TOTAL	G_TRUNC	10523	0.004314
prelegalizer	TOTAL	G_ZEXT	7891	0.003235
prelegalizer	TOTAL	G_AND	6974	0.002859
prelegalizer	TOTAL	G_FCONSTANT	6310	0.002587
prelegalizer	TOTAL	G_SUB	6278	0.002574
prelegalizer	TOTAL	G_MUL	6152	0.002522
prelegalizer	TOTAL	G_PHI	6108	0.002504
prelegalizer	TOTAL	G_SEXT	5925	0.002429
prelegalizer	TOTAL	G_PTRTOINT	5531	0.002268
prelegalizer	TOTAL	G_OR	3665	0.001503
prelegalizer	TOTAL	G_ANYEXT	3404	0.001396
prelegalizer	TOTAL	G_FMUL	3236	0.001327
prelegalizer	TOTAL	G_LSHR	2676	0.001097
prelegalizer	TOTAL	G_FCMP	1827	0.000749
prelegalizer	TOTAL	G_FADD	1772	0.000727
prelegalizer	TOTAL	G_FMA	1582	0.000649
prelegalizer	TOTAL	G_ASHR	1502	0.000616
prelegalizer	TOTAL	G_FSUB	1221	0.000501
prelegalizer	TOTAL	G_SDIV	1173	0.000481
prelegalizer	TOTAL	G_SITOFP	1170	0.000480
prelegalizer	TOTAL	G_XOR	1154	0.000473
prelegalizer	TOTAL	G_FDIV	1020	0.000418
prelegalizer	TOTAL	G_SELECT	999	0.000410
prelegalizer	TOTAL	G_FNEG	900	0.000369
prelegalizer	TOTAL	G_INTTOPTR	879	0.000360
prelegalizer	TOTAL	G_FPEXT	775	0.000318
prelegalizer	TOTAL	G_MEMCPY	575	0.000236
prelegalizer	TOTAL	G_TRAP	432	0.000177
prelegalizer	TOTAL	G_FPTOSI	366	0.000150
prelegalizer	TOTAL	G_UDIV	345	0.000141
prelegalizer	TOTAL	G_UREM	310	0.000127
prelegalizer	TOTAL	G_SREM	304	0.000125
prelegalizer	TOTAL	G_FPTRUNC	295	0.000121
prelegalizer	TOTAL	G_MEMSET	213	0.000087
prelegalizer	TOTAL	G_MEMMOVE	107	0.000044
prelegalizer	TOTAL	G_UMULO	84	0.000034
prelegalizer	TOTAL	G_BRJT	75	0.000031
prelegalizer	TOTAL	G_JUMP_TABLE	75	0.000031
prelegalizer	TOTAL	G_FABS	55	0.000023
prelegalizer	TOTAL	G_UITOFP	53	0.000022
